title,description,picimg1,link
農業氣象1130301, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/PS5bELknh_E/mqdefault.jpg,https://youtu.be/PS5bELknh_E
農業氣象1130301, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/1OvusXk_rOY/mqdefault.jpg,https://youtu.be/1OvusXk_rOY
農業氣象1130229, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/6PXRal_LV7Y/mqdefault.jpg,https://youtu.be/6PXRal_LV7Y
農業氣象1130228, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/3CrtyJYbeOA/mqdefault.jpg,https://youtu.be/3CrtyJYbeOA
農業氣象1130227, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/mmLWbSxnyNw/mqdefault.jpg,https://youtu.be/mmLWbSxnyNw
農業氣象1130226, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/nqsdNvMMbjc/mqdefault.jpg,https://youtu.be/nqsdNvMMbjc
農業氣象1130225, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/_LZ92bRctyo/mqdefault.jpg,https://youtu.be/_LZ92bRctyo
農業氣象1130224, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/eEGa-39rcCg/mqdefault.jpg,https://youtu.be/eEGa-39rcCg
農業氣象1130223, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/CzJ1X8JF5Gk/mqdefault.jpg,https://youtu.be/CzJ1X8JF5Gk
農業氣象1130222, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/Njle5yx_Dq8/mqdefault.jpg,https://youtu.be/Njle5yx_Dq8
農業氣象1130221, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/-6u_1iGlog0/mqdefault.jpg,https://youtu.be/-6u_1iGlog0
農業氣象1130220, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/rcSQS0XrM9A/mqdefault.jpg,https://youtu.be/rcSQS0XrM9A
農業氣象1130219, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/_4JP9OCyhsE/mqdefault.jpg,https://youtu.be/_4JP9OCyhsE
農業氣象1130218, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/98gN_IQNhxI/mqdefault.jpg,https://youtu.be/98gN_IQNhxI
農業氣象1130217, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/xht2NW3jgsM/mqdefault.jpg,https://youtu.be/xht2NW3jgsM
農業氣象1130216, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/uXqTx_lyfEM/mqdefault.jpg,https://youtu.be/uXqTx_lyfEM
農業氣象1130216, 預報農業氣象，掌握氣象、掌握農事！許多相關氣象與農業資訊提供給您最新的一手消息唷！ ,https://i.ytimg.com/vi/C9AZf6hYdlQ/mqdefault.jpg,https://youtu.be/C9AZf6hYdlQ
